word,frequency
-able,2.69e-05
-acea,3.63e-09
-aceae,0.0
-aceous,0.0
-ad,5.750000000000001e-06
-ade,9.55e-08
-aemia,0.0
-age,2.0900000000000003e-05
-agogue,0.0
-al,1.45e-05
-ales,7.24e-08
-algia,0.0
-ally,1.26e-06
-amine,6.17e-08
-an,0.000339
-ana,7.760000000000001e-07
-ance,1e-08
-ancy,2.04e-09
-androus,0.0
-andry,6.610000000000001e-09
-ane,4.17e-08
-ant,7.240000000000001e-07
-ar,1.15e-06
-arch,1.05e-06
-archy,1.4499999999999999e-08
-ard,1.17e-07
-arian,5.8900000000000005e-08
-arium,0.0
-art,1.95e-05
-ary,5.7500000000000005e-08
-ase,4.17e-08
-asis,2.82e-08
-aster,6.460000000000001e-08
-ate,2.19e-06
-ation,1.17e-08
-ative,1.66e-09
-ator,5.37e-09
-atory,0.0
-blast,2.09e-06
-cade,9.120000000000001e-08
-carp,1.5100000000000002e-07
-carpic,0.0
-carpous,0.0
-cele,1.2e-08
-cene,2.09e-09
-cephalic,1.3199999999999999e-08
-chrome,7.94e-07
-cide,8.91e-09
-cle,7.59e-08
-colous,0.0
-cracy,1.4500000000000002e-09
-crat,2.14e-09
-cule,2.34e-09
-cy,2.2900000000000003e-07
-cyst,1.3200000000000002e-07
-cyte,0.0
-derm,1.78e-08
-dom,6.03e-07
-drome,5.89e-09
-dromous,0.0
-ean,2.1400000000000003e-08
-ectomy,1.51e-09
-ed,6.17e-06
-ee,4.0700000000000003e-07
-eer,1.0500000000000001e-08
-eme,2.04e-08
-emia,0.0
-en,3.1600000000000002e-06
-ence,1.62e-08
-ency,0.0
-ene,5.13e-08
-ent,2.09e-07
-eous,0.0
-er,1.74e-06
-ery,1.9100000000000002e-08
-es,8.51e-07
-escent,0.0
-ese,7.24e-08
-esque,2e-07
-ess,6.61e-08
-est,1.2900000000000001e-06
-et,4.57e-06
-eth,1.62e-07
-ette,1.15e-08
-ey,1.95e-07
-facient,0.0
-fer,1.1500000000000001e-07
-ferous,0.0
-fic,9.77e-08
-fid,2.04e-08
-florous,0.0
-fold,1.2000000000000002e-06
-form,2.04e-05
-fuge,4.17e-09
-ful,5.13e-08
-fy,1.35e-07
-gamy,4.07e-09
-gen,2.14e-06
-genesis,7.08e-07
-genic,4.17e-09
-genous,0.0
-geny,2.4e-09
-gerous,0.0
-gnathous,0.0
-gnosis,2.0900000000000002e-08
-gon,2.1900000000000004e-07
-gonium,0.0
-gony,0.0
-grade,6.3100000000000006e-06
-gram,5.75e-07
-graph,1.12e-06
-grapher,3.4700000000000002e-09
-graphy,3.02e-09
-gynous,0.0
-hedron,1.55e-09
-hemia,0.0
-hood,1.6200000000000002e-06
-i-,0.0012300000000000002
-ia,5.01e-07
-ial,5.13e-09
-ian,2.09e-06
-iana,1.74e-08
-iasis,0.0
-iatrics,0.0
-iatry,0.0
-ible,2.34e-09
-ic,3.55e-07
-ical,1.3500000000000002e-08
-ician,0.0
-ics,1.05e-07
-id,4.07e-06
-idae,1.2e-09
-ide,1.38e-07
-ie,6.31e-07
-ier,1.38e-08
-ify,7.94e-09
-ile,7.24e-08
-in,0.0018599999999999999
-inae,0.0
-ine,8.32e-08
-ing,8.91e-07
-ion,1.41e-06
-ious,1.5800000000000003e-08
-ise,5.3700000000000004e-08
-ish,5.25e-07
-ism,1.1500000000000001e-07
-ist,2.2400000000000002e-07
-istic,1.8600000000000002e-09
-ite,5.0100000000000005e-08
-itis,5.0100000000000005e-08
-itol,0.0
-ity,1.55e-08
-ium,3.98e-09
-ive,1.05e-06
-ize,1.48e-08
-kin,4.4700000000000007e-07
-lalia,0.0
-latry,0.0
-lepsy,0.0
-less,3.09e-05
-let,3.9800000000000005e-05
-like,0.000257
-ling,3.24e-07
-lite,3.3900000000000006e-07
-lith,9.550000000000001e-09
-lithic,1.74e-08
-log,2.34e-06
-logue,2.5100000000000003e-08
-logy,5.89e-09
-ly,2.34e-07
-lysis,2.69e-08
-lyte,2.0900000000000002e-08
-lytic,1.1000000000000001e-08
-mancy,1.62e-09
-mania,2.75e-07
-mantic,3.7200000000000004e-09
-mas,3.3900000000000006e-07
-ment,1.38e-07
-mer,1.95e-07
-mere,1.35e-06
-merous,1.3200000000000002e-09
-meter,1.23e-06
-metry,1.3200000000000002e-09
-mo,2.4000000000000003e-06
-most,0.0001
-n't,3.8e-07
-nasty,1.6600000000000002e-06
-ness,3.9800000000000004e-07
-nik,1.1e-07
-ock,2.1400000000000003e-08
-ode,2.04e-07
-odont,0.0
-oid,1.74e-08
-oidea,0.0
-ol,9.55e-07
-ole,5.37e-07
-oma,3.8900000000000004e-08
-on,0.000813
-one,0.000295
-onym,0.0
-opia,1.17e-09
-opsis,0.0
-or,0.00034700000000000003
-ory,1.7e-08
-ose,2.04e-08
-osis,4.27e-09
-otic,7.240000000000001e-09
-ous,1.66e-08
-parous,0.0
-path,5.13e-06
-pathy,3.39e-09
-pede,7.08e-09
-petal,1.1e-07
-phage,4.57e-08
-phagy,0.0
-phane,1.4500000000000002e-09
-phasia,0.0
-phile,4.07e-09
-philia,7.240000000000001e-09
-philous,0.0
-phobe,5.250000000000001e-09
-phone,2e-05
-phony,2.2400000000000002e-07
-phore,0.0
-phyll,1.35e-09
-phyllous,0.0
-phyte,0.0
-plasia,0.0
-plasm,4.79e-09
-plast,6.92e-09
-plastic,3.2400000000000003e-06
-plasty,2.09e-09
-pod,5.13e-07
-podium,4.27e-07
-proof,5.01e-06
-pterous,0.0
-rhoea,0.0
-rrhagia,0.0
-rrhoea,0.0
-ry,9.330000000000001e-08
-s,7.240000000000001e-05
-scope,1.82e-06
-sepalous,0.0
-ship,8.51e-06
-some,0.00015800000000000002
-sophy,1.15e-08
-sperm,6.92e-07
-st,1.58e-05
-stat,8.91e-07
-ster,2.04e-08
-stichous,0.0
-stome,0.0
-stomy,0.0
-stress,5.37e-06
-taxis,2.75e-07
-th,1.5800000000000001e-06
-thermy,0.0
-tion,6.17e-08
-tome,1.62e-07
-tomy,1.51e-08
-trix,2.88e-08
-trope,1.2600000000000002e-07
-trophy,1.4800000000000002e-06
-tropic,6.76e-08
-tropism,4.27e-09
-tropous,0.0
-tude,1.5800000000000003e-08
-ty,5.37e-07
-type,1.86e-05
-ule,6.46e-09
-ulent,0.0
-ure,6.92e-08
-uria,3.16e-09
-vorous,0.0
-ward,2.34e-06
-wards,4.37e-07
-ways,1.1500000000000002e-05
-wise,3.2400000000000003e-06
-y,1.0700000000000001e-05
-yl,3.31e-08
-zoa,4.3700000000000004e-09
-zoon,5.62e-09
3-D,2.1300000000000003e-05
A,0.229
A & R,2.22e-05
A battery,3.31e-06
A horizon,1.17e-06
A number 1,2.9e-05
A-1,9.58e-05
A-bomb,3.97e-06
A-frame,3.8000000000000005e-06
A.,0.229
A.A.A.,1.05e-07
A.B.,7.41e-06
A.B.A.,2.0899999999999998e-07
A.C.,1.23e-05
A.D.,2.45e-05
A.D.C.,2.34e-07
A.F.,1.95e-06
A.F.A.M.,0.0
A.G.,4.79e-06
A.H.,2.88e-06
A.I.,8.51e-06
A.I.A.,1.26e-07
A.I.D.,1.02e-07
A.L.,2.6300000000000002e-06
A.L.P.,0.0
A.M.,0.000224
A.M.A.,3.98e-07
A.M.D.G.,0.0
A.N.,1.1199999999999999e-06
A.R.C.S.,0.0
A.U.,5.13e-07
A.U.C.,0.0
A.V.,2.57e-06
A.W.O.L.,1.48e-07
A/O,0.0013100000000000002
A1,4.37e-05
AA,0.00010200000000000001
AAM,6.17e-06
AB,0.000115
ABC,0.000174
ABM,3.8e-06
AC,0.000178
AC/DC,0.00011899999999999999
ACTH,1.4499999999999999e-06
AD,0.000575
ADP,1.07e-05
AEC,6.460000000000001e-06
AF,9.33e-05
AFB,1.05e-05
AFC,5.0100000000000005e-05
AFL-CIO,1.49e-07
AGC,2.09e-06
AHQ,5.13e-07
AL,0.00145
ALGOL,1.1199999999999999e-06
AM,0.006030000000000001
AMP,6.31e-05
ANZUS,4.79e-07
AP,0.00025100000000000003
APC,1.74e-05
AQ,9.77e-06
AS,0.0589
ASSR,5.13e-07
ATC,1.23e-05
ATP,3.24e-05
ATS,1.02e-05
Aachen,3.98e-06
Aalborg,1.38e-06
Aalesund,1.2e-07
Aalst,4.07e-07
Aalto,1.55e-06
Aarau,4.27e-07
Aargau,4.27e-07
Aarhus,3.8e-06
Aaron,0.00017
Aaron's rod,5.52e-08
Aaronic,3.98e-07
Ab,0.000115
Abadan,4.9e-07
Abaddon,1.91e-06
Abba,1.41e-05
Abbasid,1.41e-06
Abbevillian,0.0
Abbey Theatre,6.170000000000001e-07
Abdias,1.3200000000000002e-07
Abdul-Hamid II,1.2e-07
Abednego,4.9e-07
Abel,3.02e-05
Abelard,1.5800000000000001e-06
Abeokuta,1.2599999999999998e-06
Aberdare,1.4499999999999999e-06
Aberdeen,6.46e-05
Aberdeen Angus,2.57e-07
Abib,2.63e-07
Abidjan,3.1600000000000002e-06
Abigail,2.4e-05
Abilene,6.460000000000001e-06
Abingdon,6.17e-06
Abnaki,0.0
Abney level,1.74e-08
Abraham,9.55e-05
Abruzzi,1.0700000000000001e-06
Absalom,2.45e-06
Abu Simbel,4.760000000000001e-09
Abu-Bekr,0.0
Abukir,0.0
Abydos,1.66e-06
Abyssinia,2.51e-06
Abyssinian cat,2.08e-08
Ac,0.000178
Acadia,5.25e-06
Acadian,2.1400000000000003e-06
Acapulco,6.76e-06
Accad,0.0
Accra,1.1e-05
Aceldama,0.0
Achaea,2.75e-07
Achaean,5.89e-07
Achaean League,5.89e-09
Achaemenid,1.02e-06
Achates,2.88e-07
Achelous,1.4500000000000001e-07
Achernar,0.0
Acheron,1.2e-06
Achilles,2.9500000000000002e-05
Achilles heel,2.0700000000000001e-07
Achilles tendon,1.21e-07
Achitophel,0.0
Acis,6.92e-07
Aconcagua,7.76e-07
Acre,8.51e-05
Acrilan,0.0
Actaeon,5.009999999999999e-07
Actium,6.61e-07
Acton,9.33e-06
Acts of the Apostles,2.76e-07
Adam,0.00037200000000000004
Adam's ale,1.1900000000000001e-07
Adam's apple,1.5400000000000003e-07
Adam's-needle,1.36e-07
Adam-and-Eve,1.34e-06
Adamic,5.5e-07
Adamite,1.38e-07
Adams,0.000178
Adams-Stokes syndrome,2.6e-07
Adana,1.95e-06
Adapa,0.0
Adar,1.1e-06
Adar Sheni,1.5e-09
Addams,8.32e-06
Addington,2.6300000000000002e-06
Addis Ababa,5.24e-08
Addison,2.9500000000000002e-05
Addison's disease,1.69e-08
Addressograph,0.0
Adelaide,9.769999999999999e-05
Aden,1.26e-05
Adenauer,1.86e-06
Adige,8.51e-07
Adigranth,0.0
Adirondack Mountains,6.19e-08
Adler,2.29e-05
Adm.,1.51e-05
Admetus,3.39e-07
Admiralty Islands,2.53e-07
Admiralty Range,2.7e-07
Admiralty mile,2.57e-07
Adonai,1.7800000000000001e-06
Adonic,0.0
Adonis,7.94e-06
Adowa,1.41e-07
Adrastus,2.0899999999999998e-07
Adrenalin,5.8899999999999995e-06
Adrian,8.91e-05
Adrian IV,6.5e-07
Adrianople,8.91e-07
Adrianople red,8.91e-09
Adriatic,8.51e-06
Adriatic Sea,8.45e-08
Aduwa,0.0
Advent Sunday,4.4300000000000004e-07
Adventist,6.17e-06
Aegaeon,0.0
Aegean,8.51e-06
Aegean Islands,8.290000000000001e-08
Aegean Sea,8.45e-08
Aegeus,3.47e-07
Aegina,6.61e-07
Aegir,3.63e-07
Aegisthus,3.1599999999999997e-07
Aegospotami,0.0
Aegyptus,1.0999999999999999e-07
Aeneas,3.63e-06
Aeneas Silvius,2.7300000000000003e-09
Aeneid,2.1899999999999998e-06
Aeolian,2.29e-06
Aeolian mode,2.2800000000000002e-08
Aeolic,1.8200000000000002e-07
Aeolis,0.0
Aeolus,7.59e-07
Aeschines,3.09e-07
Aeschylus,2.4e-06
Aesculapian,1.2e-07
Aesculapius,3.02e-07
Aesir,5.89e-07
Aesop,3.39e-06
Aetna,7.24e-06
Aetolia,1.7000000000000001e-07
Af.,9.33e-05
Afghan,6.759999999999999e-05
Afghan hound,1.9300000000000002e-07
Afghanistan,0.00017
Africa,0.0008320000000000001
African,0.0006609999999999999
African lily,7.85e-07
African violet,6.26e-07
Africander,0.0
Africanist,7.59e-07
Africanize,0.0
Afrikaans,6.460000000000001e-06
Afrikander,0.0
Afrikaner,2.9499999999999997e-06
Afro,2.69e-05
Afro-,2.6900000000000004e-07
Afro-American,2.67e-07
Afro-Asian,2.5500000000000005e-07
Afro-Asiatic,8.44e-08
Ag,8.91e-05
Aga Khan IV,1.0800000000000001e-07
Agadir,1.29e-06
Agamemnon,4.9e-06
Age of Reason,1.04e-05
Agincourt,2.2399999999999997e-06
Aglaia,2.88e-07
Agnes,3.7199999999999996e-05
Agni,3.4700000000000002e-06
Agnus Dei,9.72e-09
Agra,8.51e-06
Agram,1.78e-07
Agricola,3.02e-06
Agrigento,5.009999999999999e-07
Agrippa,3.4700000000000002e-06
Aguascalientes,5.5e-07
Agulhas,6.76e-07
Ahab,4.9e-06
Ahasuerus,5.75e-07
Ahithophel,1.48e-07
Ahmedabad,1.2e-05
Ahmednagar,5.5e-07
Ahriman,1.0500000000000001e-06
Ahura Mazda,8.190000000000001e-09
Ahvenanmaa,0.0
Ahwaz,8.51e-07
Aidoneus,0.0
Ain,2.88e-05
Aintab,1.17e-07
Ainu,1.86e-06
Air National Guard,3.85e-06
Airdrie,3.1600000000000002e-06
Airedale,1.0500000000000001e-06
Aisha,1.05e-05
Aisne,9.33e-07
Aitken,7.41e-06
Aix-en-Provence,3.56e-08
Aix-la-Chapelle,2.37e-08
Ajaccio,1.0500000000000001e-06
Ajax,3.02e-05
Ajmer,1.91e-06
Akan,2.82e-06
Akbar,1.95e-05
Akihito,1e-06
Akkad,1.15e-06
Akkadian,2.2399999999999997e-06
Akkerman,2.0899999999999998e-07
Akmolinsk,0.0
Akron,2.2400000000000002e-05
Aksum,3.24e-07
Al,0.00145
Al Hufuf,0.0
Al Sirat,2.04e-09
Ala.,3.3900000000000004e-05
Alabama,0.00018199999999999998
Aladdin,1.45e-05
Alagez,0.0
Alagoas,3.63e-07
Alamein,1.6999999999999998e-06
Alamo,1.2e-05
Alaric,3.39e-06
Alas.,4.68e-05
Alaska,0.000155
Alaska Highway,1.03e-06
Alaska Peninsula,6.330000000000001e-07
Alaska Range,1.3900000000000002e-06
Alaskan malamute,7.900000000000001e-09
Alb.,4.17e-06
Alba,2.14e-05
Alba Longa,1.2700000000000001e-08
Albacete,6.76e-07
Albania,2.2400000000000002e-05
Albanian,1.78e-05
Albany,6.46e-05
Albemarle Sound,6.14e-08
Alberich,5.13e-07
Albert,0.000174
Albert Edward,1.1399999999999999e-06
Albert I,1.74e-06
Alberta,7.24e-05
Alberti,2.09e-06
Albertus Magnus,1.0100000000000001e-08
Albi,1.35e-06
Albigenses,1.0999999999999999e-07
Albinus,5.250000000000001e-07
Albion,2.45e-05
Alboin,0.0
Albuquerque,3.1599999999999996e-05
