[2026-03-24T09:57:57.362Z] Starting import of 74550 words
[2026-03-24T09:57:58.992Z] Inserted 1000 / 74550 (1%)
[2026-03-24T09:57:59.092Z] Inserted 2000 / 74550 (3%)
[2026-03-24T09:57:59.239Z] Inserted 3000 / 74550 (4%)
[2026-03-24T09:57:59.325Z] Inserted 4000 / 74550 (5%)
[2026-03-24T09:57:59.453Z] Inserted 5000 / 74550 (7%)
[2026-03-24T09:57:59.523Z] Inserted 6000 / 74550 (8%)
[2026-03-24T09:57:59.594Z] Inserted 7000 / 74550 (9%)
[2026-03-24T09:57:59.662Z] Inserted 8000 / 74550 (11%)
[2026-03-24T09:57:59.750Z] Inserted 9000 / 74550 (12%)
[2026-03-24T09:57:59.855Z] Inserted 10000 / 74550 (13%)
[2026-03-24T09:57:59.921Z] Inserted 11000 / 74550 (15%)
[2026-03-24T09:57:59.989Z] Inserted 12000 / 74550 (16%)
[2026-03-24T09:58:00.058Z] Inserted 13000 / 74550 (17%)
[2026-03-24T09:58:00.126Z] Inserted 14000 / 74550 (19%)
[2026-03-24T09:58:00.185Z] Inserted 15000 / 74550 (20%)
[2026-03-24T09:58:00.256Z] Inserted 16000 / 74550 (21%)
[2026-03-24T09:58:00.329Z] Inserted 17000 / 74550 (23%)
[2026-03-24T09:58:00.391Z] Inserted 18000 / 74550 (24%)
[2026-03-24T09:58:00.472Z] Inserted 19000 / 74550 (25%)
[2026-03-24T09:58:00.532Z] Inserted 20000 / 74550 (27%)
[2026-03-24T09:58:00.596Z] Inserted 21000 / 74550 (28%)
[2026-03-24T09:58:00.663Z] Inserted 22000 / 74550 (30%)
[2026-03-24T09:58:00.727Z] Inserted 23000 / 74550 (31%)
[2026-03-24T09:58:00.798Z] Inserted 24000 / 74550 (32%)
[2026-03-24T09:58:00.862Z] Inserted 25000 / 74550 (34%)
[2026-03-24T09:58:00.923Z] Inserted 26000 / 74550 (35%)
[2026-03-24T09:58:00.997Z] Inserted 27000 / 74550 (36%)
[2026-03-24T09:58:01.091Z] Inserted 28000 / 74550 (38%)
[2026-03-24T09:58:01.179Z] Inserted 29000 / 74550 (39%)
[2026-03-24T09:58:01.258Z] Inserted 30000 / 74550 (40%)
[2026-03-24T09:58:01.316Z] Inserted 31000 / 74550 (42%)
[2026-03-24T09:58:01.382Z] Inserted 32000 / 74550 (43%)
[2026-03-24T09:58:01.450Z] Inserted 33000 / 74550 (44%)
[2026-03-24T09:58:01.502Z] Inserted 34000 / 74550 (46%)
[2026-03-24T09:58:01.566Z] Inserted 35000 / 74550 (47%)
[2026-03-24T09:58:01.619Z] Inserted 36000 / 74550 (48%)
[2026-03-24T09:58:01.689Z] Inserted 37000 / 74550 (50%)
[2026-03-24T09:58:01.751Z] Inserted 38000 / 74550 (51%)
[2026-03-24T09:58:01.808Z] Inserted 39000 / 74550 (52%)
[2026-03-24T09:58:01.876Z] Inserted 40000 / 74550 (54%)
[2026-03-24T09:58:01.947Z] Inserted 41000 / 74550 (55%)
[2026-03-24T09:58:02.009Z] Inserted 42000 / 74550 (56%)
[2026-03-24T09:58:02.068Z] Inserted 43000 / 74550 (58%)
[2026-03-24T09:58:02.165Z] Inserted 44000 / 74550 (59%)
[2026-03-24T09:58:02.217Z] Inserted 45000 / 74550 (60%)
[2026-03-24T09:58:02.305Z] Inserted 46000 / 74550 (62%)
[2026-03-24T09:58:02.368Z] Inserted 47000 / 74550 (63%)
[2026-03-24T09:58:02.443Z] Inserted 48000 / 74550 (64%)
[2026-03-24T09:58:02.539Z] Inserted 49000 / 74550 (66%)
[2026-03-24T09:58:02.597Z] Inserted 50000 / 74550 (67%)
[2026-03-24T09:58:02.670Z] Inserted 51000 / 74550 (68%)
[2026-03-24T09:58:02.725Z] Inserted 52000 / 74550 (70%)
[2026-03-24T09:58:02.787Z] Inserted 53000 / 74550 (71%)
[2026-03-24T09:58:02.873Z] Inserted 54000 / 74550 (72%)
[2026-03-24T09:58:02.924Z] Inserted 55000 / 74550 (74%)
[2026-03-24T09:58:02.978Z] Inserted 56000 / 74550 (75%)
[2026-03-24T09:58:03.035Z] Inserted 57000 / 74550 (76%)
[2026-03-24T09:58:03.092Z] Inserted 58000 / 74550 (78%)
[2026-03-24T09:58:03.146Z] Inserted 59000 / 74550 (79%)
[2026-03-24T09:58:03.204Z] Inserted 60000 / 74550 (80%)
[2026-03-24T09:58:03.275Z] Inserted 61000 / 74550 (82%)
[2026-03-24T09:58:03.340Z] Inserted 62000 / 74550 (83%)
[2026-03-24T09:58:03.399Z] Inserted 63000 / 74550 (85%)
[2026-03-24T09:58:03.450Z] Inserted 64000 / 74550 (86%)
[2026-03-24T09:58:03.537Z] Inserted 65000 / 74550 (87%)
[2026-03-24T09:58:03.592Z] Inserted 66000 / 74550 (89%)
[2026-03-24T09:58:03.647Z] Inserted 67000 / 74550 (90%)
[2026-03-24T09:58:03.717Z] Inserted 68000 / 74550 (91%)
[2026-03-24T09:58:03.767Z] Inserted 69000 / 74550 (93%)
[2026-03-24T09:58:03.817Z] Inserted 70000 / 74550 (94%)
[2026-03-24T09:58:03.876Z] Inserted 71000 / 74550 (95%)
[2026-03-24T09:58:03.926Z] Inserted 72000 / 74550 (97%)
[2026-03-24T09:58:03.978Z] Inserted 73000 / 74550 (98%)
[2026-03-24T09:58:04.028Z] Inserted 74000 / 74550 (99%)
[2026-03-24T09:58:04.078Z] Inserted 74550 / 74550 (100%)
[2026-03-24T09:58:04.079Z] Import complete
